Total_Children,Total_Income,Education_Type,Family_Status,Total_Family_Members,Applicant_Age,Years_of_Working,Village,Total_Bad_Debt,Total_Good_Debt,Owned_Email
3,270000,Secondary / secondary special                     ,Married                                           ,5,35,4,Risca Silva (Poiares (Santo André)),0,17,0
1,405000,Higher education                                  ,Married                                           ,3,33,6,Vila Nova de Poiares (Poiares (Santo André)),0,31,0
1,405000,Higher education                                  ,Married                                           ,3,33,6,Pereiro de Baixo (Poiares (Santo André)),0,14,0
1,405000,Higher education                                  ,Married                                           ,3,33,6,Barreiro (Lavegadas),0,56,0
1,405000,Higher education                                  ,Married                                           ,3,33,6,Soutelo (Arrifana),0,5,0
1,405000,Higher education                                  ,Married                                           ,3,33,6,Sabouga (Lavegadas),0,9,0
1,405000,Higher education                                  ,Married                                           ,3,33,6,Ponte da Pedra (Poiares (Santo André)),0,30,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,57,13,Catraia das Necessidades (Poiares (Santo André)),0,33,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,57,13,Avessada (Poiares (Santo André)),0,12,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,57,13,Couchel (Poiares (Santo André)),0,33,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,57,13,Vale da Clara (Poiares (Santo André)),0,12,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,57,13,Casal do Gago (São Miguel de Poiares),0,26,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,57,13,Alveite Grande (São Miguel de Poiares),0,12,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,57,13,Alveite Pequeno (São Miguel de Poiares),0,1,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,57,13,Cascalho (Poiares (Santo André)),0,16,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Vilar (Arrifana),0,2,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Vilar (Arrifana),0,29,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Mucela (Lavegadas),0,4,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Ervideira (Arrifana),0,28,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Louredo (Arrifana),0,11,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Outeiro do Crasto (Arrifana),0,5,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Póvoa da Abraveia (Poiares (Santo André)),0,4,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Vilar (Arrifana),0,4,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Carvalho (Arrifana),0,3,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Igreja Nova (Lavegadas),0,2,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Vale de Viegas (Poiares (Santo André)),0,3,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Cabeço de Celas (São Miguel de Poiares),0,2,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Vale de Viegas (Poiares (Santo André)),0,2,0
2,135000,Secondary / secondary special                     ,Married                                           ,4,44,9,Sobreiro (Arrifana),0,4,0
1,211500,Secondary / secondary special                     ,Civil marriage                                    ,3,45,20,Lombada (São Miguel de Poiares),0,25,0
1,211500,Secondary / secondary special                     ,Civil marriage                                    ,3,45,20,Casais (Arrifana),0,12,0
0,360000,Secondary / secondary special                     ,Married                                           ,2,46,15,Vale de Afonso (Poiares (Santo André)),1,10,0
2,126000,Higher education                                  ,Married                                           ,4,34,5,Vale da Clara (Poiares (Santo André)),0,22,1
2,126000,Higher education                                  ,Married                                           ,4,34,5,Casa Nova (Poiares (Santo André)),0,46,1
2,126000,Higher education                                  ,Married                                           ,4,34,5,São Miguel de Poiares (São Miguel de Poiares),0,40,1
2,126000,Higher education                                  ,Married                                           ,4,34,5,Pereiro de Baixo (Arrifana),0,44,1
2,126000,Higher education                                  ,Married                                           ,4,34,5,Forcado (Poiares (Santo André)),0,8,1
2,126000,Higher education                                  ,Married                                           ,4,34,5,Póvoa da Abraveia (Poiares (Santo André)),3,9,1
2,126000,Higher education                                  ,Married                                           ,4,34,5,Louredo (Arrifana),0,22,1
2,126000,Higher education                                  ,Married                                           ,4,34,5,Arrifana (Arrifana),0,11,1
2,126000,Higher education                                  ,Married                                           ,4,34,5,Fonte da Telha (Arrifana),0,20,1
2,126000,Higher education                                  ,Married                                           ,4,34,5,Crasto (Arrifana),0,40,1
0,247500,Higher education                                  ,Separated                                         ,1,47,4,Carvalho (Arrifana),0,6,0
0,247500,Higher education                                  ,Separated                                         ,1,47,4,Póvoa (Poiares (Santo André)),0,5,0
0,247500,Higher education                                  ,Separated                                         ,1,47,4,Pereiro de Além (Poiares (Santo André)),0,6,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Vale de Vaz (Poiares (Santo André)),0,8,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Carvalho (Arrifana),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Póvoa da Abraveia (Poiares (Santo André)),0,37,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Crasto (Arrifana),0,37,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Balteiro (Arrifana),0,35,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Ferreira (Poiares (Santo André)),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Vale de Afonso (Poiares (Santo André)),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Ventosa (Arrifana),0,21,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Vendinha (Poiares (Santo André)),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Outeiro do Crasto (Arrifana),0,21,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Louredo (Arrifana),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Moura Morta (Lavegadas),1,20,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Alveite Pequeno (São Miguel de Poiares),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Sobreiro (Arrifana),1,20,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Ribeira do Moinho (Poiares (Santo André)),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Alveite Pequeno (São Miguel de Poiares),1,20,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Vale de Vaide (Poiares (Santo André)),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Vale da Clara (Poiares (Santo André)),1,20,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Crasto (Arrifana),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Venda (Poiares (Santo André)),1,20,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Algaça (Arrifana),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Vimieiro (Poiares (Santo André)),1,20,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Vimieiro (Poiares (Santo André)),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Soutelo (Arrifana),1,18,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Outeiro do Crasto (Arrifana),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Forcado (Poiares (Santo André)),1,17,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Fonte Longa (São Miguel de Poiares),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Vale de Viegas (Poiares (Santo André)),1,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Pereiro de Baixo (Arrifana),0,16,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Barreiro (Lavegadas),1,15,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Cascalho (Poiares (Santo André)),0,14,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Ribas (Poiares (Santo André)),1,13,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Vale de Vaz (Poiares (Santo André)),0,13,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Venda (Poiares (Santo André)),0,13,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Alveite Pequeno (São Miguel de Poiares),0,13,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Vale Carvalhal (Poiares (Santo André)),1,11,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Carvalho (Arrifana),0,10,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Soutelo (Arrifana),1,9,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Boiça (São Miguel de Poiares),0,8,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Avessada (Poiares (Santo André)),0,7,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Ervideira (Arrifana),0,6,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Vale de Afonso (Poiares (Santo André)),0,6,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Moura Morta (Lavegadas),0,6,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Abraveia (Poiares (Santo André)),0,5,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Vale da Clara (Poiares (Santo André)),0,5,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Cascalho (Poiares (Santo André)),0,4,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Cabeço de Celas (São Miguel de Poiares),0,2,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Vale da Clara (Poiares (Santo André)),0,2,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Outeiro do Crasto (Arrifana),0,1,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Sabouga (Lavegadas),0,2,0
0,297000,Secondary / secondary special                     ,Single / not married                              ,1,43,9,Segundeira (Poiares (Santo André)),0,8,0
0,157500,Higher education                                  ,Married                                           ,2,38,14,Alveite Grande (São Miguel de Poiares),3,13,0
0,157500,Higher education                                  ,Married                                           ,2,38,14,Lixosa (Arrifana),0,15,0
0,157500,Higher education                                  ,Married                                           ,2,38,14,Malpartida (São Miguel de Poiares),3,13,0
0,157500,Higher education                                  ,Married                                           ,2,38,14,Alveite Pequeno (São Miguel de Poiares),3,13,0
0,157500,Higher education                                  ,Married                                           ,2,38,14,Terreiros de Além (Arrifana),3,13,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,43,4,Venda Nova (São Miguel de Poiares),0,13,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,43,4,Sobreiro (Arrifana),0,13,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,43,4,Pinheiro (Poiares (Santo André)),0,1,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,43,4,Fonte Longa (São Miguel de Poiares),0,13,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,5,Mucela (Lavegadas),0,5,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,5,Crasto (Arrifana),0,40,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,5,Cascalho (Poiares (Santo André)),0,40,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,5,Cascalho (Poiares (Santo André)),0,4,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,5,Cabeço de Celas (São Miguel de Poiares),0,16,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,5,Fonte Longa (São Miguel de Poiares),0,29,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,5,Louredo (Arrifana),0,27,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,5,Cabeço de Celas (São Miguel de Poiares),0,39,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,58,7,Ponte de Mucela (Lavegadas),0,11,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,58,7,Casais (Arrifana),0,12,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,58,7,Ervideira (Arrifana),0,59,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,58,7,Terreiros de Santo António (Arrifana),0,11,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,58,7,Moinhos (São Miguel de Poiares),0,11,0
0,112500,Secondary / secondary special                     ,Married                                           ,2,58,7,Abraveia (Poiares (Santo André)),0,17,0
0,270000,Secondary / secondary special                     ,Separated                                         ,1,46,4,Ribeira do Moinho (Poiares (Santo André)),0,29,0
0,270000,Secondary / secondary special                     ,Separated                                         ,1,46,4,Ventosa (Arrifana),0,7,0
0,270000,Secondary / secondary special                     ,Separated                                         ,1,46,4,Cabeças (Poiares (Santo André)),0,18,0
0,270000,Secondary / secondary special                     ,Separated                                         ,1,46,4,Casais (Arrifana),0,20,0
0,270000,Secondary / secondary special                     ,Separated                                         ,1,46,4,Forcado (Poiares (Santo André)),0,19,0
0,270000,Higher education                                  ,Married                                           ,2,30,3,Santa Maria (Arrifana),0,4,1
0,270000,Higher education                                  ,Married                                           ,2,30,3,Olho Marinho (São Miguel de Poiares),0,4,1
0,157500,Secondary / secondary special                     ,Married                                           ,2,28,3,Vila Nova de Poiares (Poiares (Santo André)),0,23,0
0,166500,Secondary / secondary special                     ,Married                                           ,2,52,18,Venda (Poiares (Santo André)),0,7,0
0,166500,Secondary / secondary special                     ,Married                                           ,2,52,18,Pinheiro (Poiares (Santo André)),0,7,0
0,166500,Secondary / secondary special                     ,Married                                           ,2,52,18,Fonte Longa (São Miguel de Poiares),0,7,0
0,166500,Secondary / secondary special                     ,Married                                           ,2,52,18,Pinheirais (Poiares (Santo André)),0,11,0
0,166500,Secondary / secondary special                     ,Married                                           ,2,52,18,Vimieiro (Poiares (Santo André)),0,11,0
0,166500,Secondary / secondary special                     ,Married                                           ,2,52,18,Vale do Gueiro (São Miguel de Poiares),0,7,0
0,166500,Secondary / secondary special                     ,Married                                           ,2,52,18,Casa Nova (Poiares (Santo André)),0,11,0
0,166500,Secondary / secondary special                     ,Married                                           ,2,52,18,Louredo (Arrifana),0,7,0
0,166500,Secondary / secondary special                     ,Married                                           ,2,52,18,Ventosa (Arrifana),0,6,0
0,166500,Secondary / secondary special                     ,Married                                           ,2,52,18,São Miguel de Poiares (São Miguel de Poiares),0,7,0
0,270000,Secondary / secondary special                     ,Married                                           ,2,55,30,Vilar (Arrifana),0,22,1
0,225000,Secondary / secondary special                     ,Married                                           ,2,40,8,Balteiro (Arrifana),1,10,0
0,225000,Secondary / secondary special                     ,Married                                           ,2,40,8,Vale do Gueiro (São Miguel de Poiares),0,16,0
0,315000,Secondary / secondary special                     ,Single / not married                              ,1,29,4,Vila Nova de Poiares (Poiares (Santo André)),0,14,0
0,315000,Secondary / secondary special                     ,Single / not married                              ,1,29,4,Ponte da Pedra (Poiares (Santo André)),0,14,0
2,157500,Secondary / secondary special                     ,Single / not married                              ,3,40,2,Forcado (Poiares (Santo André)),0,9,0
2,157500,Secondary / secondary special                     ,Single / not married                              ,3,40,2,Ferreira (Poiares (Santo André)),0,4,0
0,148500,Higher education                                  ,Married                                           ,2,49,3,Algaça (Poiares (Santo André)),0,21,0
0,148500,Higher education                                  ,Married                                           ,2,49,3,Póvoa (Poiares (Santo André)),0,19,0
0,148500,Higher education                                  ,Married                                           ,2,49,3,Avessada (Poiares (Santo André)),1,14,0
0,148500,Higher education                                  ,Married                                           ,2,49,3,Vale de Vaz (Poiares (Santo André)),1,14,0
0,148500,Higher education                                  ,Married                                           ,2,49,3,Crasto (Arrifana),0,8,0
0,148500,Higher education                                  ,Married                                           ,2,49,3,Ferreira (Poiares (Santo André)),0,12,0
2,202500,Higher education                                  ,Married                                           ,4,31,7,Segundeira (Poiares (Santo André)),0,14,1
2,202500,Higher education                                  ,Married                                           ,4,31,7,Cabeço de Celas (São Miguel de Poiares),1,42,1
2,202500,Higher education                                  ,Married                                           ,4,31,7,Risca Silva (Poiares (Santo André)),0,48,1
2,202500,Higher education                                  ,Married                                           ,4,31,7,Crasto (Arrifana),0,14,1
2,202500,Higher education                                  ,Married                                           ,4,31,7,Casais (Arrifana),0,14,1
0,202500,Secondary / secondary special                     ,Single / not married                              ,1,25,3,Santa Maria (Arrifana),0,10,0
0,202500,Secondary / secondary special                     ,Single / not married                              ,1,25,3,Boiça (São Miguel de Poiares),0,10,0
0,112500,Secondary / secondary special                     ,Single / not married                              ,1,21,3,Póvoa da Abraveia (Poiares (Santo André)),0,1,1
0,315000,Secondary / secondary special                     ,Civil marriage                                    ,2,29,6,Fonte Longa (São Miguel de Poiares),0,38,0
0,315000,Secondary / secondary special                     ,Civil marriage                                    ,2,29,6,São Miguel de Poiares (São Miguel de Poiares),0,28,0
0,315000,Secondary / secondary special                     ,Civil marriage                                    ,2,29,6,Ponte de Mucela (Lavegadas),0,5,0
0,315000,Secondary / secondary special                     ,Civil marriage                                    ,2,29,6,Sobreiro (Arrifana),0,11,0
0,315000,Secondary / secondary special                     ,Civil marriage                                    ,2,29,6,Sabouga (Lavegadas),0,16,0
0,315000,Secondary / secondary special                     ,Civil marriage                                    ,2,29,6,Segundeira (Poiares (Santo André)),0,5,0
0,315000,Secondary / secondary special                     ,Civil marriage                                    ,2,29,6,Fonte da Telha (Arrifana),0,23,0
0,315000,Secondary / secondary special                     ,Civil marriage                                    ,2,29,6,Soutelo (Arrifana),0,36,0
0,315000,Secondary / secondary special                     ,Civil marriage                                    ,2,29,6,Vimieiro (Poiares (Santo André)),0,38,0
0,270000,Incomplete higher                                 ,Civil marriage                                    ,2,29,9,Avessada (Poiares (Santo André)),0,21,1
0,270000,Incomplete higher                                 ,Civil marriage                                    ,2,29,9,Sobreiro (Arrifana),0,24,1
1,450000,Higher education                                  ,Married                                           ,3,49,2,Pereiro de Além (Poiares (Santo André)),0,23,1
1,450000,Higher education                                  ,Married                                           ,3,49,2,Moura Morta (Lavegadas),0,24,1
1,180000,Secondary / secondary special                     ,Married                                           ,3,39,4,Lixosa (Arrifana),0,31,0
0,112500,Higher education                                  ,Civil marriage                                    ,2,28,9,Malpartida (São Miguel de Poiares),0,44,1
0,112500,Higher education                                  ,Civil marriage                                    ,2,28,9,Ferreira (Poiares (Santo André)),4,12,1
0,112500,Higher education                                  ,Civil marriage                                    ,2,28,9,Ribas (Poiares (Santo André)),0,17,1
0,90000,Secondary / secondary special                     ,Married                                           ,2,57,16,Vale de Afonso (Poiares (Santo André)),0,48,0
0,90000,Secondary / secondary special                     ,Married                                           ,2,57,16,Sabouga (Lavegadas),0,3,0
2,202500,Higher education                                  ,Married                                           ,4,41,9,Vale do Gueiro (São Miguel de Poiares),0,41,0
2,202500,Higher education                                  ,Married                                           ,4,41,9,Paço (Poiares (Santo André)),0,40,0
0,247500,Secondary / secondary special                     ,Married                                           ,2,35,12,Santa Maria (Arrifana),0,14,0
1,765000,Higher education                                  ,Married                                           ,3,34,4,Terreiros de Santo António (Arrifana),2,2,0
1,765000,Higher education                                  ,Married                                           ,3,34,4,Cabeço de Celas (São Miguel de Poiares),0,4,0
1,765000,Higher education                                  ,Married                                           ,3,34,4,Vale da Clara (Poiares (Santo André)),0,4,0
1,270000,Secondary / secondary special                     ,Married                                           ,3,38,13,Vila Nova de Poiares (Poiares (Santo André)),0,25,1
1,270000,Secondary / secondary special                     ,Married                                           ,3,38,13,Póvoa da Abraveia (Poiares (Santo André)),0,15,1
1,270000,Secondary / secondary special                     ,Married                                           ,3,38,13,Vale de Vaz (Poiares (Santo André)),0,18,1
0,315000,Higher education                                  ,Separated                                         ,1,37,2,Cabeço de Celas (Poiares (Santo André)),0,29,0
0,315000,Higher education                                  ,Separated                                         ,1,37,2,Lombada (São Miguel de Poiares),0,28,0
2,157500,Secondary / secondary special                     ,Married                                           ,4,36,12,Venda (Poiares (Santo André)),0,39,0
2,157500,Secondary / secondary special                     ,Married                                           ,4,36,12,Oliveira (Arrifana),0,28,0
2,157500,Secondary / secondary special                     ,Married                                           ,4,36,12,Cabeço de Celas (São Miguel de Poiares),0,31,0
2,157500,Secondary / secondary special                     ,Married                                           ,4,36,12,Terreiros de Além (Arrifana),0,61,0
0,360000,Secondary / secondary special                     ,Married                                           ,2,42,8,Vimieiro (Poiares (Santo André)),0,8,0
0,360000,Secondary / secondary special                     ,Married                                           ,2,42,8,Cascalho (Poiares (Santo André)),0,21,0
0,112500,Higher education                                  ,Married                                           ,2,25,1,Vila Chã (Poiares (Santo André)),1,3,1
0,135000,Secondary / secondary special                     ,Civil marriage                                    ,2,27,5,Ferreira (Poiares (Santo André)),0,34,0
0,135000,Secondary / secondary special                     ,Civil marriage                                    ,2,27,5,Pinheiro (Poiares (Santo André)),0,12,0
0,315000,Higher education                                  ,Married                                           ,2,44,11,Casa Nova (Poiares (Santo André)),0,36,0
0,315000,Higher education                                  ,Married                                           ,2,44,11,Terreiros de Além (Arrifana),1,25,0
0,315000,Higher education                                  ,Married                                           ,2,44,11,Arrifana (Arrifana),0,13,0
0,315000,Higher education                                  ,Married                                           ,2,44,11,Cabeço de Celas (São Miguel de Poiares),0,8,0
0,315000,Higher education                                  ,Married                                           ,2,44,11,Barreiro (Lavegadas),1,17,0
0,180000,Secondary / secondary special                     ,Married                                           ,2,54,8,Avessada (Poiares (Santo André)),0,30,0
0,180000,Secondary / secondary special                     ,Married                                           ,2,54,8,Boiça (São Miguel de Poiares),0,48,0
0,180000,Secondary / secondary special                     ,Married                                           ,2,54,8,Casais (Arrifana),0,48,0
0,180000,Secondary / secondary special                     ,Married                                           ,2,54,8,Boiça (São Miguel de Poiares),0,29,0
0,180000,Secondary / secondary special                     ,Married                                           ,2,54,8,Abraveia (Poiares (Santo André)),0,28,0
0,180000,Secondary / secondary special                     ,Married                                           ,2,54,8,Casais (Arrifana),0,18,0
0,180000,Secondary / secondary special                     ,Married                                           ,2,54,8,Vila Nova de Poiares (Poiares (Santo André)),0,48,0
0,180000,Secondary / secondary special                     ,Married                                           ,2,54,8,Vimieiro (Poiares (Santo André)),0,44,0
0,180000,Secondary / secondary special                     ,Married                                           ,2,54,8,Vale de Vaide (Poiares (Santo André)),0,15,0
0,180000,Secondary / secondary special                     ,Married                                           ,2,54,8,Boiça (São Miguel de Poiares),0,22,0
0,180000,Secondary / secondary special                     ,Married                                           ,2,54,8,Algaça (Poiares (Santo André)),2,22,0
0,180000,Secondary / secondary special                     ,Married                                           ,2,54,8,Sobreiro (Arrifana),0,48,0
0,157500,Secondary / secondary special                     ,Married                                           ,2,36,9,Avessada (Poiares (Santo André)),0,13,0
0,157500,Secondary / secondary special                     ,Married                                           ,2,36,9,Segundeira (Poiares (Santo André)),0,17,0
0,157500,Secondary / secondary special                     ,Married                                           ,2,36,9,Balteiro (Arrifana),0,17,0
0,157500,Secondary / secondary special                     ,Married                                           ,2,36,9,Lombada (São Miguel de Poiares),0,17,0
0,157500,Secondary / secondary special                     ,Married                                           ,2,36,9,Vimieiro (Poiares (Santo André)),0,17,0
0,229500,Incomplete higher                                 ,Married                                           ,2,51,4,Ervideira (Arrifana),1,49,0
0,229500,Incomplete higher                                 ,Married                                           ,2,51,4,Risca Silva (Poiares (Santo André)),1,34,0
0,229500,Incomplete higher                                 ,Married                                           ,2,51,4,Pereiro de Baixo (Poiares (Santo André)),0,13,0
0,229500,Incomplete higher                                 ,Married                                           ,2,51,4,Forcado (Poiares (Santo André)),1,38,0
0,229500,Incomplete higher                                 ,Married                                           ,2,51,4,Vale de Vaide (Poiares (Santo André)),1,12,0
0,229500,Incomplete higher                                 ,Married                                           ,2,51,4,Moinhos (São Miguel de Poiares),0,35,0
0,229500,Incomplete higher                                 ,Married                                           ,2,51,4,Vila Chã (Poiares (Santo André)),0,32,0
0,270000,Higher education                                  ,Married                                           ,2,49,16,Casais (Arrifana),1,3,0
0,270000,Higher education                                  ,Married                                           ,2,49,16,Catraia das Necessidades (Poiares (Santo André)),0,6,0
0,270000,Higher education                                  ,Married                                           ,2,49,16,Pinheiro (Poiares (Santo André)),0,17,0
0,270000,Higher education                                  ,Married                                           ,2,49,16,Sobreiro (Arrifana),0,17,0
0,270000,Higher education                                  ,Married                                           ,2,49,16,Cabeças (Poiares (Santo André)),0,23,0
0,270000,Higher education                                  ,Married                                           ,2,49,16,Vila Nova de Poiares (Poiares (Santo André)),0,17,0
0,270000,Higher education                                  ,Married                                           ,2,49,16,Barreiro (Lavegadas),0,34,0
0,270000,Higher education                                  ,Married                                           ,2,49,16,Soutelo (Arrifana),1,29,0
0,292500,Secondary / secondary special                     ,Married                                           ,2,58,24,Lombada (São Miguel de Poiares),0,7,0
0,292500,Secondary / secondary special                     ,Married                                           ,2,58,24,Malpartida (São Miguel de Poiares),0,8,0
0,292500,Secondary / secondary special                     ,Married                                           ,2,58,24,Carvalho (Arrifana),0,46,0
0,292500,Secondary / secondary special                     ,Married                                           ,2,58,24,Moura Morta (Lavegadas),0,2,0
0,292500,Secondary / secondary special                     ,Married                                           ,2,58,24,Cabeças (Poiares (Santo André)),0,7,0
0,292500,Secondary / secondary special                     ,Married                                           ,2,58,24,Framilo (Poiares (Santo André)),0,21,0
0,292500,Secondary / secondary special                     ,Married                                           ,2,58,24,Pinheirais (Poiares (Santo André)),0,3,0
