Applicant_Gender,Total_Children,Total_Income,Education_Type,Family_Status,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Village
F      ,2,126000,Higher education                                  ,Married                                           ,1,Managers                                          ,4,34,5,0,40,São Miguel de Poiares (São Miguel de Poiares)
F      ,2,126000,Higher education                                  ,Married                                           ,1,Managers                                          ,4,34,5,0,44,Pereiro de Baixo (Arrifana)
F      ,2,126000,Higher education                                  ,Married                                           ,1,Managers                                          ,4,34,5,0,8,Forcado (Poiares (Santo André))
F      ,2,126000,Higher education                                  ,Married                                           ,1,Managers                                          ,4,34,5,3,9,Póvoa da Abraveia (Poiares (Santo André))
F      ,2,126000,Higher education                                  ,Married                                           ,1,Managers                                          ,4,34,5,0,22,Louredo (Arrifana)
F      ,2,126000,Higher education                                  ,Married                                           ,1,Managers                                          ,4,34,5,0,11,Arrifana (Arrifana)
F      ,2,126000,Higher education                                  ,Married                                           ,1,Managers                                          ,4,34,5,0,20,Fonte da Telha (Arrifana)
F      ,2,126000,Higher education                                  ,Married                                           ,1,Managers                                          ,4,34,5,0,40,Crasto (Arrifana)
F      ,0,247500,Higher education                                  ,Separated                                         ,0,Core staff                                        ,1,47,4,0,6,Carvalho (Arrifana)
F      ,0,247500,Higher education                                  ,Separated                                         ,0,Core staff                                        ,1,47,4,0,5,Póvoa (Poiares (Santo André))
F      ,0,247500,Higher education                                  ,Separated                                         ,0,Core staff                                        ,1,47,4,0,6,Pereiro de Além (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,8,Vale de Vaz (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Carvalho (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,37,Póvoa da Abraveia (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,37,Crasto (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,35,Balteiro (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Ferreira (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Vale de Afonso (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,21,Ventosa (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Vendinha (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,21,Outeiro do Crasto (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Louredo (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,1,20,Moura Morta (Lavegadas)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Alveite Pequeno (São Miguel de Poiares)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,1,20,Sobreiro (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Ribeira do Moinho (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,1,20,Alveite Pequeno (São Miguel de Poiares)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Vale de Vaide (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,1,20,Vale da Clara (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Crasto (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,1,20,Venda (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Algaça (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,1,20,Vimieiro (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Vimieiro (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,1,18,Soutelo (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Outeiro do Crasto (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,1,17,Forcado (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Fonte Longa (São Miguel de Poiares)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,1,16,Vale de Viegas (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,16,Pereiro de Baixo (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,1,15,Barreiro (Lavegadas)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,14,Cascalho (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,1,13,Ribas (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,13,Vale de Vaz (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,13,Venda (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,13,Alveite Pequeno (São Miguel de Poiares)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,1,11,Vale Carvalhal (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,10,Carvalho (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,1,9,Soutelo (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,8,Boiça (São Miguel de Poiares)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,7,Avessada (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,6,Ervideira (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,6,Vale de Afonso (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,6,Moura Morta (Lavegadas)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,5,Abraveia (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,5,Vale da Clara (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,4,Cascalho (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,2,Cabeço de Celas (São Miguel de Poiares)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,2,Vale da Clara (Poiares (Santo André))
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,1,Outeiro do Crasto (Arrifana)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,2,Sabouga (Lavegadas)
F      ,0,297000,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,1,43,9,0,8,Segundeira (Poiares (Santo André))
F      ,0,157500,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,2,38,14,3,13,Alveite Grande (São Miguel de Poiares)
F      ,0,157500,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,2,38,14,0,15,Lixosa (Arrifana)
F      ,0,157500,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,2,38,14,3,13,Malpartida (São Miguel de Poiares)
F      ,0,157500,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,2,38,14,3,13,Alveite Pequeno (São Miguel de Poiares)
F      ,0,157500,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,2,38,14,3,13,Terreiros de Além (Arrifana)
M      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,43,4,0,13,Venda Nova (São Miguel de Poiares)
M      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,43,4,0,13,Sobreiro (Arrifana)
M      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,43,4,0,1,Pinheiro (Poiares (Santo André))
M      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,43,4,0,13,Fonte Longa (São Miguel de Poiares)
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,5,0,5,Mucela (Lavegadas)
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,5,0,40,Crasto (Arrifana)
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,5,0,40,Cascalho (Poiares (Santo André))
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,5,0,4,Cascalho (Poiares (Santo André))
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,5,0,16,Cabeço de Celas (São Miguel de Poiares)
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,5,0,29,Fonte Longa (São Miguel de Poiares)
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,5,0,27,Louredo (Arrifana)
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,5,0,39,Cabeço de Celas (São Miguel de Poiares)
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,58,7,0,11,Ponte de Mucela (Lavegadas)
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,58,7,0,12,Casais (Arrifana)
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,58,7,0,59,Ervideira (Arrifana)
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,58,7,0,11,Terreiros de Santo António (Arrifana)
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,58,7,0,11,Moinhos (São Miguel de Poiares)
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,58,7,0,17,Abraveia (Poiares (Santo André))
F      ,0,270000,Secondary / secondary special                     ,Separated                                         ,0,Cleaning staff                                    ,1,46,4,0,29,Ribeira do Moinho (Poiares (Santo André))
F      ,0,270000,Secondary / secondary special                     ,Separated                                         ,0,Cleaning staff                                    ,1,46,4,0,7,Ventosa (Arrifana)
F      ,0,270000,Secondary / secondary special                     ,Separated                                         ,0,Cleaning staff                                    ,1,46,4,0,18,Cabeças (Poiares (Santo André))
F      ,0,270000,Secondary / secondary special                     ,Separated                                         ,0,Cleaning staff                                    ,1,46,4,0,20,Casais (Arrifana)
F      ,0,270000,Secondary / secondary special                     ,Separated                                         ,0,Cleaning staff                                    ,1,46,4,0,19,Forcado (Poiares (Santo André))
F      ,0,270000,Higher education                                  ,Married                                           ,1,Managers                                          ,2,30,3,0,4,Santa Maria (Arrifana)
F      ,0,270000,Higher education                                  ,Married                                           ,1,Managers                                          ,2,30,3,0,4,Olho Marinho (São Miguel de Poiares)
M      ,0,157500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,28,3,0,23,Vila Nova de Poiares (Poiares (Santo André))
M      ,0,166500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,52,18,0,7,Venda (Poiares (Santo André))
M      ,0,166500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,52,18,0,7,Pinheiro (Poiares (Santo André))
M      ,0,166500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,52,18,0,7,Fonte Longa (São Miguel de Poiares)
M      ,0,166500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,52,18,0,11,Pinheirais (Poiares (Santo André))
M      ,0,166500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,52,18,0,11,Vimieiro (Poiares (Santo André))
M      ,0,166500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,52,18,0,7,Vale do Gueiro (São Miguel de Poiares)
M      ,0,166500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,52,18,0,11,Casa Nova (Poiares (Santo André))
M      ,0,166500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,52,18,0,7,Louredo (Arrifana)
M      ,0,166500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,52,18,0,6,Ventosa (Arrifana)
M      ,0,166500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,52,18,0,7,São Miguel de Poiares (São Miguel de Poiares)
F      ,0,270000,Secondary / secondary special                     ,Married                                           ,1,Laborers                                          ,2,55,30,0,22,Vilar (Arrifana)
F      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,40,8,1,10,Balteiro (Arrifana)
F      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,40,8,0,16,Vale do Gueiro (São Miguel de Poiares)
F      ,0,315000,Secondary / secondary special                     ,Single / not married                              ,0,Accountants                                       ,1,29,4,0,14,Vila Nova de Poiares (Poiares (Santo André))
F      ,0,315000,Secondary / secondary special                     ,Single / not married                              ,0,Accountants                                       ,1,29,4,0,14,Ponte da Pedra (Poiares (Santo André))
F      ,2,157500,Secondary / secondary special                     ,Single / not married                              ,0,Core staff                                        ,3,40,2,0,9,Forcado (Poiares (Santo André))
F      ,2,157500,Secondary / secondary special                     ,Single / not married                              ,0,Core staff                                        ,3,40,2,0,4,Ferreira (Poiares (Santo André))
F      ,0,148500,Higher education                                  ,Married                                           ,0,Core staff                                        ,2,49,3,0,21,Algaça (Poiares (Santo André))
F      ,0,148500,Higher education                                  ,Married                                           ,0,Core staff                                        ,2,49,3,0,19,Póvoa (Poiares (Santo André))
F      ,0,148500,Higher education                                  ,Married                                           ,0,Core staff                                        ,2,49,3,1,14,Avessada (Poiares (Santo André))
F      ,0,148500,Higher education                                  ,Married                                           ,0,Core staff                                        ,2,49,3,1,14,Vale de Vaz (Poiares (Santo André))
F      ,0,148500,Higher education                                  ,Married                                           ,0,Core staff                                        ,2,49,3,0,8,Crasto (Arrifana)
F      ,0,148500,Higher education                                  ,Married                                           ,0,Core staff                                        ,2,49,3,0,12,Ferreira (Poiares (Santo André))
F      ,2,202500,Higher education                                  ,Married                                           ,1,Core staff                                        ,4,31,7,0,14,Segundeira (Poiares (Santo André))
F      ,2,202500,Higher education                                  ,Married                                           ,1,Core staff                                        ,4,31,7,1,42,Cabeço de Celas (São Miguel de Poiares)
F      ,2,202500,Higher education                                  ,Married                                           ,1,Core staff                                        ,4,31,7,0,48,Risca Silva (Poiares (Santo André))
F      ,2,202500,Higher education                                  ,Married                                           ,1,Core staff                                        ,4,31,7,0,14,Crasto (Arrifana)
F      ,2,202500,Higher education                                  ,Married                                           ,1,Core staff                                        ,4,31,7,0,14,Casais (Arrifana)
M      ,0,202500,Secondary / secondary special                     ,Single / not married                              ,0,Drivers                                           ,1,25,3,0,10,Santa Maria (Arrifana)
M      ,0,202500,Secondary / secondary special                     ,Single / not married                              ,0,Drivers                                           ,1,25,3,0,10,Boiça (São Miguel de Poiares)
F      ,0,112500,Secondary / secondary special                     ,Single / not married                              ,1,Private service staff                             ,1,21,3,0,1,Póvoa da Abraveia (Poiares (Santo André))
M      ,0,315000,Secondary / secondary special                     ,Civil marriage                                    ,0,Sales staff                                       ,2,29,6,0,38,Fonte Longa (São Miguel de Poiares)
M      ,0,315000,Secondary / secondary special                     ,Civil marriage                                    ,0,Sales staff                                       ,2,29,6,0,28,São Miguel de Poiares (São Miguel de Poiares)
M      ,0,315000,Secondary / secondary special                     ,Civil marriage                                    ,0,Sales staff                                       ,2,29,6,0,5,Ponte de Mucela (Lavegadas)
M      ,0,315000,Secondary / secondary special                     ,Civil marriage                                    ,0,Sales staff                                       ,2,29,6,0,11,Sobreiro (Arrifana)
M      ,0,315000,Secondary / secondary special                     ,Civil marriage                                    ,0,Sales staff                                       ,2,29,6,0,16,Sabouga (Lavegadas)
M      ,0,315000,Secondary / secondary special                     ,Civil marriage                                    ,0,Sales staff                                       ,2,29,6,0,5,Segundeira (Poiares (Santo André))
M      ,0,315000,Secondary / secondary special                     ,Civil marriage                                    ,0,Sales staff                                       ,2,29,6,0,23,Fonte da Telha (Arrifana)
M      ,0,315000,Secondary / secondary special                     ,Civil marriage                                    ,0,Sales staff                                       ,2,29,6,0,36,Soutelo (Arrifana)
M      ,0,315000,Secondary / secondary special                     ,Civil marriage                                    ,0,Sales staff                                       ,2,29,6,0,38,Vimieiro (Poiares (Santo André))
F      ,0,270000,Incomplete higher                                 ,Civil marriage                                    ,1,High skill tech staff                             ,2,29,9,0,21,Avessada (Poiares (Santo André))
F      ,0,270000,Incomplete higher                                 ,Civil marriage                                    ,1,High skill tech staff                             ,2,29,9,0,24,Sobreiro (Arrifana)
F      ,1,450000,Higher education                                  ,Married                                           ,1,Core staff                                        ,3,49,2,0,23,Pereiro de Além (Poiares (Santo André))
F      ,1,450000,Higher education                                  ,Married                                           ,1,Core staff                                        ,3,49,2,0,24,Moura Morta (Lavegadas)
M      ,1,180000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,3,39,4,0,31,Lixosa (Arrifana)
F      ,0,112500,Higher education                                  ,Civil marriage                                    ,1,Laborers                                          ,2,28,9,0,44,Malpartida (São Miguel de Poiares)
F      ,0,112500,Higher education                                  ,Civil marriage                                    ,1,Laborers                                          ,2,28,9,4,12,Ferreira (Poiares (Santo André))
F      ,0,112500,Higher education                                  ,Civil marriage                                    ,1,Laborers                                          ,2,28,9,0,17,Ribas (Poiares (Santo André))
M      ,0,90000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,57,16,0,48,Vale de Afonso (Poiares (Santo André))
M      ,0,90000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,57,16,0,3,Sabouga (Lavegadas)
M      ,2,202500,Higher education                                  ,Married                                           ,0,Laborers                                          ,4,41,9,0,41,Vale do Gueiro (São Miguel de Poiares)
M      ,2,202500,Higher education                                  ,Married                                           ,0,Laborers                                          ,4,41,9,0,40,Paço (Poiares (Santo André))
M      ,0,247500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,35,12,0,14,Santa Maria (Arrifana)
M      ,1,765000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,34,4,2,2,Terreiros de Santo António (Arrifana)
M      ,1,765000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,34,4,0,4,Cabeço de Celas (São Miguel de Poiares)
M      ,1,765000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,34,4,0,4,Vale da Clara (Poiares (Santo André))
F      ,1,270000,Secondary / secondary special                     ,Married                                           ,1,Accountants                                       ,3,38,13,0,25,Vila Nova de Poiares (Poiares (Santo André))
F      ,1,270000,Secondary / secondary special                     ,Married                                           ,1,Accountants                                       ,3,38,13,0,15,Póvoa da Abraveia (Poiares (Santo André))
F      ,1,270000,Secondary / secondary special                     ,Married                                           ,1,Accountants                                       ,3,38,13,0,18,Vale de Vaz (Poiares (Santo André))
F      ,0,315000,Higher education                                  ,Separated                                         ,0,Managers                                          ,1,37,2,0,29,Cabeço de Celas (Poiares (Santo André))
